date,dead (0-19),dead (20-64),dead(65+)
2020-09-25,0,3,27
2020-09-26,0,4,32
2020-09-27,0,5,39
2020-09-28,0,1,46
2020-09-29,0,1,42
2020-09-30,0,2,46
2020-10-01,0,7,49
2020-10-02,0,4,61
2020-10-03,0,3,52
2020-10-04,0,5,49
2020-10-05,0,1,58
2020-10-06,0,5,57
2020-10-07,0,13,68
2020-10-08,0,4,74
2020-10-09,0,9,59
2020-10-10,0,5,86
2020-10-11,0,5,99
2020-10-12,0,8,89
2020-10-13,0,12,75
2020-10-14,0,12,90
2020-10-15,0,13,111
2020-10-16,0,11,111
2020-10-17,0,19,143
2020-10-18,0,10,111
2020-10-19,0,19,140
2020-10-20,0,13,161
2020-10-21,0,12,179
2020-10-22,0,16,171
2020-10-23,0,13,176
2020-10-24,0,18,153
2020-10-25,0,21,186
2020-10-26,1,25,200
2020-10-27,0,21,199
2020-10-28,0,22,216
2020-10-29,0,12,238
2020-10-30,0,23,259
2020-10-31,0,29,254
2020-11-01,1,26,261
2020-11-02,0,26,265
2020-11-03,0,22,271
2020-11-04,0,26,252
2020-11-05,0,21,283
2020-11-06,0,30,304
2020-11-07,0,31,305
2020-11-08,0,34,311
2020-11-09,0,45,360
2020-11-10,0,23,297
2020-11-11,0,31,282
2020-11-12,0,31,322
2020-11-13,0,32,328
2020-11-14,0,23,342
2020-11-15,0,24,361
2020-11-16,0,25,336
2020-11-17,0,20,347
2020-11-18,0,39,401
2020-11-19,1,34,366
2020-11-20,0,42,352
2020-11-21,0,24,376
2020-11-22,0,34,376
2020-11-23,1,31,369
2020-11-24,0,31,379
2020-11-25,0,46,383
2020-11-26,0,40,334
2020-11-27,0,31,338
2020-11-28,2,31,354
2020-11-29,0,34,370
2020-11-30,0,32,333
2020-12-01,0,26,321
2020-12-02,2,17,318
2020-12-03,1,33,374
2020-12-04,0,24,390
2020-12-05,0,33,312
2020-12-06,0,41,316
2020-12-07,0,29,331
2020-12-08,1,30,345
2020-12-09,1,35,340
2020-12-10,0,30,350
2020-12-11,0,36,364
2020-12-12,0,24,354
2020-12-13,0,16,352
2020-12-14,0,40,375
2020-12-15,0,31,360
2020-12-16,0,27,327
2020-12-17,0,31,410
2020-12-18,0,30,406
2020-12-19,0,31,384
2020-12-20,0,34,396
2020-12-21,0,38,460
2020-12-22,0,42,449
2020-12-23,0,31,452
2020-12-24,0,46,444
2020-12-25,0,42,499
2020-12-26,0,63,509
2020-12-27,0,54,531
2020-12-28,0,56,538
2020-12-29,0,53,527
2020-12-30,2,56,571
2020-12-31,1,77,575
